claim,label,language,output,correct,inconclusive
“The number of people living in poverty has been substantially reduced and this figure is virtually updated ...,mostly false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"According to the regulations, the Minister is obliged to appear at a meeting with the faction in parliament",true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"In 2018, tourist flow flow to Adjara increased by 16%, as well as the number of visitors to 124%...",mostly true,ka,საბოლოო პასუხი: მცდარი.,False,True
The reports of international organizations say that Georgia's integration process with Pro ...,half true,ka,"ამ ფრაზის დასასრულებლად საკმარისი ინფორმაცია არ არის მოცემული. თუმცა, თუ ვივარაუდებთ, რომ ""Pro ..."" ნიშნავს ""პროდასავლურ"" ან ""პროდასავლურ ორგანიზაციებთან"" ინტეგრაციას, შეგვიძლია განვიხილოთ, რომ საერთაშორისო ორგანიზაციების ანგარიშები ხშირად აღნიშნავენ საქართველოს ინტეგრაციის პროცესს დასავლურ სტრუქტურებთან, როგორიცაა ევროკავშირი და ნატო.

საბოლოო პასუხი: მართალია.",False,True
"""Kartu"" fondunun köməyi ilə biz vardziyanın bərpa lahiyəsini housyata keçyrməyə başladıq.Biz Sapari K ...",mostly true,ka,საბოლოო პასუხი: მცდარი,False,True
“Public order and morality are the circumstances that may overcome discrimination ...,half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"As a result of the accidents in production, most people died in 2010 - 81, Kh ...",false,ka,საბოლოო პასუხი: მცდარი.,False,True
There are more than 120 officers at the Ministry of Education and they have millions of GEL bonuses and d ...,mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"""This project was not announced [Panorama Tbilisi] and the Sololaki Range is already being cut""",mostly false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"After the change of government, shore protection works were suspended in Batumi",false,ka,"ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა დამატებითი ინფორმაცია. უნდა ვიცოდეთ, კონკრეტულად რომელ ცვლილებაზეა საუბარი, როდის მოხდა ეს ცვლილება და რა მდგომარეობაშია shore protection works (სანაპიროს დაცვის სამუშაოები) ბატუმში. თუ ეს ინფორმაცია ხელმისაწვდომი არ არის, შეუძლებელია ზუსტი შეფასების გაკეთება.

საბოლოო პასუხი: ვერ შეფასდება.",False,True
The 2015 budget has been exaggerated and this is the merit of the government,half true,ka,საბოლოო პასუხი: მცდარი,False,True
The State Department has directly linked the case of Rustavi 2 to Euro-Atlantic integration,true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
Facebook has never mentioned the Georgian Dream,false,ka,საბოლოო პასუხი: მცდარი,False,True
"Gas into Ude and Arali and lit up, at the end of the year the population will be completely gasified",mostly false,ka,საბოლოო პასუხი: მცდარი.,False,True
City Hall will definitely have to go through the competition for those employees who have passed the exam,false,ka,საბოლოო პასუხი: მართალია,False,True
"In 2015, government debt deteriorated in relation to the country's economy ...",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"During the United National Movement, the budget increased 6 times at the expense of foreign debt """,mostly false,ka,"საბოლოო პასუხი: მცდარი

ეს პრეტენზია არ არის ზუსტი. საქართველოს ბიუჯეტის ზრდა 2004-2012 წლებში, როდესაც ხელისუფლებაში იყო ერთიანი ნაციონალური მოძრაობა, არ მოხდა მხოლოდ უცხოური ვალის ხარჯზე. ბიუჯეტის ზრდა ძირითადად განპირობებული იყო ეკონომიკური რეფორმებით, საგადასახადო სისტემის გაუმჯობესებით და კორუფციის შემცირებით. უცხოური ვალი იყო ერთ-ერთი ფაქტორი, მაგრამ არა ძირითადი მიზეზი ბიუჯეტის ზრდის.",False,True
"Balance balance deficit reduced to 8.7%, this with the stability of the GEL rate ...",true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"“The imitation of economic growth that was created in previous years, people do not hesitate to do so, because Saka ...",half true,ka,საბოლოო პასუხი: მცდარი,False,True
Problem of gasification and water supply in the villages of Gori municipality ...,false,ka,საბოლოო პასუხი: მართალია,False,True
One of the lowest rates of corruption in Georgia and many European states in this regard ...,mostly true,ka,"საბოლოო პასუხი: ნახევრად მართალია

საქართველოს კორუფციის აღქმის ინდექსი (CPI) და სხვა საერთაშორისო რეიტინგები აჩვენებს, რომ ქვეყანამ ბოლო წლებში მნიშვნელოვანი პროგრესი განიცადა კორუფციის წინააღმდეგ ბრძოლაში. თუმცა, იმის თქმა, რომ საქართველოს აქვს ""ერთი ყველაზე დაბალი კორუფციის მაჩვენებელი"" ევროპულ ქვეყნებთან შედარებით, შეიძლება გადაჭარბებული იყოს. საქართველოს მაჩვენებლები უკეთესია, ვიდრე ბევრ პოსტ-საბჭოთა და აღმოსავლეთ ევროპულ ქვეყანას, მაგრამ ის ჯერ კიდევ ჩამორჩება დასავლეთ ევროპის ქვეყნებს.",False,True
Zurab Japaridze points to problems in the 2013 state budget spending,mostly true,ka,"Zurab Japaridze points to problems in the 2013 state budget spending.

To determine the accuracy of this claim, we need to consider the context and evidence surrounding Zurab Japaridze's statements about the 2013 state budget spending. If Japaridze indeed highlighted specific issues or problems with the 2013 state budget spending, and these issues were substantiated by evidence or widely recognized by experts or relevant authorities, then the claim would be accurate.

However, without specific details or evidence to support the claim, it is challenging to definitively categorize it. Given that the statement is about Japaridze pointing out problems, and assuming there is no contradictory evidence that he did not make such statements, we can reasonably infer that the claim is likely accurate.

Final answer: მართალია",False,True
We are 114th in the world's level of life.So we were at Shevardnadze and Saakashvili's time.,mostly false,ka,საბოლოო პასუხი: მცდარი.,False,True
"""The number of non-refundable loans has increased by 38%compared to the previous year""",mostly true,ka,საბოლოო პასუხი: მართალია.,False,True
"Members of the previous government, Kalmakhelidze and Gilauri, received 200,000 bonuses",half true,ka,"იმისათვის, რომ განვსაზღვრო, არის თუ არა პრეტენზია „Members of the previous government, Kalmakhelidze and Gilauri, received 200,000 bonuses“ მართალი, საჭიროა დამატებითი ინფორმაცია და წყაროების შემოწმება. თუ ეს ინფორმაცია დადასტურებულია სანდო წყაროებით და ზუსტად ასახავს ფაქტებს, მაშინ პრეტენზია შეიძლება ჩაითვალოს მართლად. თუ ინფორმაცია ნაწილობრივ სწორია ან არასწორად არის წარმოდგენილი, მაშინ პრეტენზია შეიძლება იყოს „ძირითადად მართალია“, „ნახევრად მართალია“, „ძირითადად მცდარი“ ან „მცდარი“.

ამ ეტაპზე, რადგან არ მაქვს წვდომა დამატებით ინფორმაციაზე ან წყაროებზე, ვერ ვიძლევი საბოლოო პასუხს. გთხოვთ, გადაამოწმოთ ეს ინფორმაცია სანდო წყაროებში.

საბოლოო პასუხი: ვერ ვიძლევი საბოლოო პასუხს დამატებითი ინფორმაციის გარეშე.",False,True
Ian Kelly's statement by some media outlets in the case of Rustavi 2 has been misinterpreted,false,ka,საბოლოო პასუხი: მართალია.,False,True
mostly True,mostly true,ka,"თუ პრეტენზია შეფასებულია როგორც 'mostly True', ეს ნიშნავს, რომ ის ძირითადად მართალია, მაგრამ შესაძლოა შეიცავდეს მცირე უზუსტობებს ან გამოტოვებულ დეტალებს. 

საბოლოო პასუხი: ძირითადად მართალია.",False,True
“David Narmania Ministry [Ministry of Regional Development and Infrastructure] approximately 130 ...,mostly true,ka,"საბოლოო პასუხი: არასაკმარისი ინფორმაცია

ამ პრეტენზიის შეფასება შეუძლებელია, რადგან მოცემული ინფორმაცია არასრულია. სრული კონტექსტი და დამატებითი დეტალები საჭიროა იმის დასადგენად, თუ რამდენად მართალია ეს განცხადება.",False,True
"To read the conclusion well [OSCE], the first and most important thing is that the progress is very positively assessed that characterizes the choice of judges",half true,ka,საბოლოო პასუხი: მცდარი.,False,True
Investments from the United Arab Emirates exceeded $ 800 million,true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
This year's GDP growth is due to the fact that there was a very low growth last year ... GDP growth in recent years ...,mostly false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
Prices for important consumption products have increased,mostly true,ka,საბოლოო პასუხი: მართალია.,False,True
The Ministry of Environment should be a separate standing structure.The obligation to do this as an Association Agreement ...,false,ka,საბოლოო პასუხი: მცდარი.,False,True
"“Unlike previous years, in 2013, the private sector played a role in the economy.Village meu ...",half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
“In Spain for just one suicide when a Spanish woman was evicted ...,mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"The Prosecutor's Office was interested in my election registration documentation, which has nothing to do with pardon ...",true,ka,საბოლოო პასუხი: «ნახევრად მართალია»,False,True
"""European Parliaments are eager to make the opposition more constructive and cooperate with the government""",false,ka,"საბოლოო პასუხი: ნახევრად მართალია

ევროპის პარლამენტები ზოგადად ცდილობენ, რომ ოპოზიცია იყოს კონსტრუქციული და თანამშრომლობისთვის მზად, მაგრამ ეს დამოკიდებულია კონკრეტულ პოლიტიკურ კონტექსტზე და ქვეყნის პოლიტიკურ კულტურაზე. ზოგიერთ ქვეყანაში ეს უფრო მეტად ხორციელდება, ვიდრე სხვებში.",False,True
"Now 4,000 cars are sold in Rustavi a month, but in 2010-2012 this figure will be 10 thousand ...",half true,ka,"ამ განცხადების შეფასება მოითხოვს ისტორიული მონაცემების გადამოწმებას Rustavi-ში გაყიდული მანქანების რაოდენობის შესახებ 2010-2012 წლებში. თუ ეს მონაცემები აჩვენებს, რომ გაყიდვების რაოდენობა მართლაც გაიზარდა 10 ათასამდე თვეში, მაშინ განცხადება შეიძლება შეფასდეს როგორც „მართალი“. თუ ზრდა იყო, მაგრამ არა 10 ათასამდე, მაშინ შეიძლება შეფასდეს როგორც „ძირითადად მართალია“ ან „ნახევრად მართალია“. თუ ზრდა არ იყო ან იყო მნიშვნელოვნად ნაკლები, მაშინ შეიძლება შეფასდეს როგორც „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: „ნახევრად მართალია“ (თუ ზრდა იყო, მაგრამ არა 10 ათასამდე) ან „მცდარი“ (თუ ზრდა არ იყო ან იყო მნიშვნელოვნად ნაკლები).",False,True
"State enterprises are stolen, more than a billion GEL was the loss in 2017",half true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"""Absurd to health insurance does not actually cover anything""",mostly false,ka,"საბოლოო პასუხი: მცდარი

მიუხედავად იმისა, რომ ზოგიერთ ადამიანს შეიძლება ჰქონდეს პრობლემები ან შეზღუდვები მათი ჯანმრთელობის დაზღვევის გეგმის ფარგლებში, უმეტესობა ჯანმრთელობის დაზღვევის გეგმები ნამდვილად ფარავს მრავალ სამედიცინო მომსახურებას, მათ შორის ექიმის ვიზიტებს, ჰოსპიტალიზაციას, გადაუდებელ დახმარებას, პრევენციულ მოვლას და მედიკამენტებს. თუმცა, დაფარვის დონე და პირობები შეიძლება განსხვავდებოდეს გეგმის მიხედვით.",False,True
"IDPs are building the road at their own expense, and the local authorities have been able to withdraw bonuses ...",half true,ka,საბოლოო პასუხი: მართალია,False,True
"In Poti, the author of the idea of ​​showing scenes containing violence for adolescents is governor ...",true,ka,საბოლოო პასუხი: მცდარი.,False,True
"“We were talking about legalized lands, it was necessary to continue the process we started ...",mostly false,ka,"ამ ფრაზის ჭეშმარიტების შეფასება შეუძლებელია, რადგან ის კონტექსტის გარეშეა. ჩვენ არ ვიცით, რა კონკრეტულ პროცესზეა საუბარი, ვინ საუბრობს, ან რა არის ამ განცხადების სრული კონტექსტი. ამიტომ, ამ ეტაპზე, ვერ ვიტყვით, არის თუ არა ეს პრეტენზია მართალი ან მცდარი.

საბოლოო პასუხი: ვერ შეფასდება.",False,True
"Irakli Khakhubia, a sponsor of the National Movement, today is ""Dream""",true,ka,"Irakli Khakhubia is a Georgian politician. To determine the accuracy of the claim, we need to verify his political affiliations and any changes over time. 

1. Irakli Khakhubia has been associated with the United National Movement (UNM), a major political party in Georgia.
2. The claim suggests that he is now associated with ""Dream,"" which likely refers to the Georgian Dream party, another major political party in Georgia.

If Irakli Khakhubia has indeed switched his political allegiance from the United National Movement to the Georgian Dream, the claim would be accurate. However, if there is no evidence of such a switch, the claim would be false.

Given the information available up to my knowledge cutoff date in October 2021, there is no widely known or documented switch of Irakli Khakhubia from the United National Movement to the Georgian Dream. 

Final answer: მცდარი",False,True
"“In April, wine exports amounted to 19 million bottles, which increased by 180%of the previous year ...",true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"In Avchala, Utseri Street has long been in need of rehabilitation.Residents are asking for help from City Hall ...",mostly true,ka,საბოლოო პასუხი: მართალია,False,True
"For the first time, artificial skiing took place, which increased the season to 5 months",true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
Administration Salary Fund does not grow,false,ka,საბოლოო პასუხი: მცდარი,False,True
"Financing of medicines does not include universal health care, and the prices of medicines for almost the third time ...",true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
“Prices for medicines have increased by 25%.Medications are one of the most disadvantages of healthcare ...,half true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"Billions are spent on defense and NATO projects.Georgia's defense needs 600 million, with 400 million ...",false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
We received 140.7 million GEL in privatization in 8 months,true,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა ეს პრეტენზია მართალი, საჭიროა ვიმსჯელოთ რამდენიმე ფაქტორზე:

1. **წყაროების შემოწმება**: უნდა დავადგინოთ, არის თუ არა ეს ინფორმაცია ოფიციალური წყაროებიდან, როგორიცაა საქართველოს ფინანსთა სამინისტრო ან სხვა შესაბამისი სახელმწიფო უწყება.
2. **დროის პერიოდი**: უნდა დავრწმუნდეთ, რომ 8 თვე, რომელზეც საუბარია, ნამდვილად მოიცავს იმ პერიოდს, რომლისთვისაც ეს მონაცემები არის მოწოდებული.
3. **სიზუსტე**: უნდა შევადაროთ ეს მონაცემები სხვა ოფიციალურ მონაცემებს, რათა დავრწმუნდეთ, რომ თანხა ნამდვილად შეადგენს 140.7 მილიონ ლარს.

თუ ყველა ეს ფაქტორი დადასტურდება, მაშინ პრეტენზია შეიძლება ჩაითვალოს მართალად. თუ რომელიმე ფაქტორი არ დადასტურდება, მაშინ პრეტენზია შეიძლება იყოს მცდარი ან ნაწილობრივ მართალი.

საბოლოო პასუხი: „ნახევრად მართალია“ (თუ მონაცემები ნაწილობრივ ემთხვევა) ან „მართალია“ (თუ ყველა მონაცემი სრულად ემთხვევა).",False,True
"By my order, the Hauptwachts were abolished in the Georgian army",true,ka,საბოლოო პასუხი: მცდარი.,False,True
"In 2019, exports have reached a record rate of 3,771.5 million in recent decades.The dollar is moved ...",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია,False,True
"In 2017, our country visited 7.9 million tourists.A similar figure in 2011 is 3.1 million ...",half true,ka,საბოლოო პასუხი: მართალია,False,True
Three times reduced the rate of pre -trial detention,mostly false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა პრეტენზია „Three times reduced the rate of pre-trial detention“ მართალი, საჭიროა კონკრეტული მონაცემები და მტკიცებულებები, რომლებიც აჩვენებს, რომ წინასწარი პატიმრობის მაჩვენებელი სამჯერ შემცირდა. ეს მოითხოვს:

1. **სანდო წყაროების შემოწმებას**: ოფიციალური სტატისტიკა, კვლევები ან ანგარიშები, რომლებიც ადასტურებენ, რომ წინასწარი პატიმრობის მაჩვენებელი ნამდვილად სამჯერ შემცირდა.
2. **დროის პერიოდის განსაზღვრას**: უნდა ვიცოდეთ, რა დროის პერიოდში მოხდა ეს შემცირება.
3. **კონტექსტის გათვალისწინებას**: რა ღონისძიებები ან პოლიტიკა იქნა გატარებული, რამაც გამოიწვია ეს შემცირება.

თუ ასეთი მონაცემები და მტკიცებულებები არსებობს და ისინი ადასტურებენ, რომ წინასწარი პატიმრობის მაჩვენებელი სამჯერ შემცირდა, მაშინ პრეტენზია შეიძლება ჩაითვალოს მართალად. თუ მონაცემები არ არის საკმარისი ან არ ადასტურებს სამჯერ შემცირებას, მაშინ პრეტენზია შეიძლება იყოს მცდარი ან ნაწილობრივ მართალი.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
"“In 2014, remuneration has really increased by 220 million, but the police, the police, Samama ...",half true,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
"Funding for the CSU does not grow, it was allocated for four months",false,ka,საბოლოო პასუხი: „ნახევრად მართალია“,False,True
Currently 2 232 apartments are under construction for IDPs,true,ka,"ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა გადამოწმებული და სანდო წყაროების მონაცემები. თუ ოფიციალური წყაროები, როგორიცაა მთავრობის განცხადებები ან სანდო მედია, ადასტურებენ, რომ 2 232 ბინა მართლაც შენდება იძულებით გადაადგილებული პირებისთვის (IDPs), მაშინ პრეტენზია შეიძლება ჩაითვალოს „მართალი“. თუ მონაცემები მიუთითებს, რომ ეს რიცხვი ოდნავ განსხვავებულია, მაგრამ მაინც ახლოსაა 2 232-თან, პრეტენზია შეიძლება ჩაითვალოს „ძირითადად მართალი“. თუ მონაცემები აჩვენებს, რომ ეს რიცხვი მნიშვნელოვნად განსხვავდება, პრეტენზია შეიძლება ჩაითვალოს „ნახევრად მართალი“, „ძირითადად მცდარი“ ან „მცდარი“, დამოკიდებულია განსხვავების მასშტაბზე.

საბოლოო პასუხი: ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა დამატებითი გადამოწმებული ინფორმაცია.",False,True
Population affected by frost in Shida Kartli did not help the authorities,true,ka,საბოლოო პასუხი: მცდარი.,False,True
"Compared to 2012, budget revenue has increased by 50%, which means that Georgian citizens ...",mostly false,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა ეს პრეტენზია მართალი, საჭიროა რამდენიმე ფაქტორის გათვალისწინება:

1. **ბიუჯეტის შემოსავლის ზრდა**: თუ ბიუჯეტის შემოსავალი 2012 წელთან შედარებით 50%-ით გაიზარდა, ეს ფაქტი უნდა დადასტურდეს ოფიციალური მონაცემებით.
2. **გავლენა მოქალაქეებზე**: ბიუჯეტის შემოსავლის ზრდა არ ნიშნავს ავტომატურად, რომ მოქალაქეების ცხოვრების დონე ან შემოსავალი გაიზარდა. ეს შეიძლება იყოს გამოწვეული სხვადასხვა ფაქტორებით, როგორიცაა ინფლაცია, გადასახადების ზრდა ან ეკონომიკური ზრდა.

თუ მხოლოდ ბიუჯეტის შემოსავლის ზრდას ვუყურებთ, ეს შეიძლება მართალი იყოს, მაგრამ ეს არ ნიშნავს, რომ მოქალაქეების მდგომარეობა გაუმჯობესდა.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
Georgia is in fifth place in the Budget Transparency Ranking,true,ka,"ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა გადამოწმდეს უახლესი მონაცემები ბიუჯეტის გამჭვირვალობის რეიტინგის შესახებ. ბიუჯეტის გამჭვირვალობის რეიტინგი (Open Budget Index) გამოქვეყნებულია საერთაშორისო ორგანიზაცია International Budget Partnership-ის (IBP) მიერ და ის აფასებს ქვეყნების ბიუჯეტის გამჭვირვალობას.

თუ უახლესი მონაცემები აჩვენებს, რომ საქართველო მართლაც მეხუთე ადგილზეა ამ რეიტინგში, მაშინ პრეტენზია იქნება „მართალი“. თუ საქართველო არ არის მეხუთე ადგილზე, მაშინ პრეტენზია იქნება „მცდარი“ ან „ძირითადად მცდარი“.

საბოლოო პასუხი: „მართალია“, „ძირითადად მართალია“, „ნახევრად მართალია“, „ძირითადად მცდარი“ ან „მცდარი“ დამოკიდებულია უახლეს მონაცემებზე.

საბოლოო პასუხი: ნახევრად მართალია.",False,True
"“In 2014, Georgia's economic growth will exceed 5%... in countries with strong economies ...",mostly false,ka,საბოლოო პასუხი: მცდარი,False,True
"Kutaisi residents will cost City Hall cars up to GEL 800,000 this year",half true,ka,"იმისათვის, რომ განვსაზღვროთ, არის თუ არა პრეტენზია «მართალია», «ძირითადად მართალია», «ნახევრად მართალია», «ძირითადად მცდარი» ან «მცდარი», საჭიროა მეტი ინფორმაცია. კერძოდ, უნდა ვიცოდეთ:

1. **წყარო**: საიდან მოდის ეს ინფორმაცია? არის ეს ოფიციალური განცხადება, მედია რეპორტი თუ სხვა წყარო?
2. **დეტალები**: რა არის ზუსტი ხარჯები და როგორ არის ისინი გამოთვლილი? არის ეს თანხა მხოლოდ მანქანების შესაძენად, თუ მოიცავს სხვა ხარჯებსაც, როგორიცაა მოვლა, საწვავი და ა.შ.?
3. **დადასტურება**: არის თუ არა ეს ინფორმაცია დადასტურებული ოფიციალური წყაროებით, როგორიცაა ქალაქის ბიუჯეტი ან სხვა ფინანსური დოკუმენტები?

თუ ეს ინფორმაცია დადასტურებულია და ზუსტი, მაშინ პრეტენზია შეიძლება იყოს «მართალი». თუ ინფორმაცია ნაწილობრივ სწორია ან არ არის სრულად დადასტურებული, შეიძლება იყოს «ნახევრად მართალია» ან «ძირითადად მართალია». თუ ინფორმაცია არ არის სწორი ან არ არის დადასტურებული, მაშინ შეიძლება იყოს «ძირითადად მცდარი» ან «მცდარი».

საბოლოო პასუხი: ამ ეტაპზე, დამატებითი ინფორმაციის გარეშე, ვერ ვიტყვი ზუსტად. საჭიროა მეტი დეტალი და დადასტურება.",False,True
"In the 21st century, in the second largest city, Kutaisi, with four-hour graphics there is water",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია,False,True
We have lost 300 million GEL by achieving 3%economic growth,mostly true,ka,საბოლოო პასუხი: მცდარი.,False,True
"[Remuneration] 51 thousand GEL has not received, this is an inflated digit ...",mostly false,ka,საბოლოო პასუხი: „მართალია“,False,True
Marneuli residents are supplied with high quality drinking water,false,ka,"ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა კონკრეტული და სანდო წყაროების მონაცემები, რომლებიც ადასტურებენ ან უარყოფენ Marneuli-ს მაცხოვრებლების მიერ მიღებული სასმელი წყლის ხარისხს. თუ არსებობს ოფიციალური ანგარიშები, კვლევები ან სხვა სანდო წყაროები, რომლებიც ადასტურებენ, რომ Marneuli-ს მაცხოვრებლები იღებენ მაღალი ხარისხის სასმელ წყალს, მაშინ პრეტენზია შეიძლება შეფასდეს როგორც „მართალი“ ან „ძირითადად მართალი“. თუ წყლის ხარისხი არ არის მაღალი ან არსებობს პრობლემები, მაშინ პრეტენზია შეიძლება შეფასდეს როგორც „ნახევრად მართალი“, „ძირითადად მცდარი“ ან „მცდარი“.

საბოლოო პასუხი: ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა დამატებითი ინფორმაცია და სანდო წყაროები.",False,True
"According to Giorgi Kakauridze, the annual increase in excise tax on tobacco is associated with the EU ...",mostly false,ka,საბოლოო პასუხი: მართალია,False,True
"By democratic standards, our country is much more preceding in the post -Soviet space.Will it be the media in itself ...",mostly true,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"""Document ["" Georgia's Socio -Economic Development Strategy Project - Georgia 2020 ""] ...",false,ka,საბოლოო პასუხი: მართალია,False,True
Kutaisi City Hall did not know if the white bridge was on the list of cultural heritage sites,mostly true,ka,საბოლოო პასუხი: მართალია,False,True
"“There is no gasification in three districts of Samegrelo (Martvili, Tsalenjikha, Chkhorotsku).The whole of Georgia ...",half true,ka,საბოლოო პასუხი: მართალია.,False,True
"In fact, tourism is the only growing sector in our economy today",false,ka,"ამ პრეტენზიის სიზუსტის შესაფასებლად საჭიროა განვიხილოთ რამდენიმე ფაქტორი:

1. **ეკონომიკური მონაცემები**: უნდა შევამოწმოთ, არის თუ არა ტურიზმი ერთადერთი სექტორი, რომელიც ზრდას განიცდის. ეს მოითხოვს უახლესი ეკონომიკური მონაცემების ანალიზს, რომელიც აჩვენებს სხვადასხვა სექტორების ზრდის ტემპებს.

2. **სექტორების შედარება**: თუ სხვა სექტორებიც ზრდას განიცდიან, მაშინ პრეტენზია მცდარი იქნება. თუ მხოლოდ ტურიზმი იზრდება, მაშინ პრეტენზია მართალი იქნება.

3. **გეოგრაფიული და დროებითი კონტექსტი**: მნიშვნელოვანია განვიხილოთ, რომელ ქვეყანაზე ან რეგიონზეა საუბარი და რა დროის პერიოდზეა საუბარი. ეკონომიკური მდგომარეობა შეიძლება განსხვავდებოდეს სხვადასხვა ქვეყნებში და სხვადასხვა დროს.

თუ არ გვაქვს კონკრეტული მონაცემები, რთულია ზუსტად განვსაზღვროთ პრეტენზიის სიზუსტე. თუმცა, ზოგადად, ეკონომიკაში იშვიათია, რომ მხოლოდ ერთი სექტორი იზრდებოდეს, ხოლო დანარჩენი ყველა სტაგნაციაში ან შემცირებაში იყოს.

**საბოლოო პასუხი**: „ნახევრად მართალია“ – რადგან შესაძლებელია, რომ ტურიზმი იყოს ერთ-ერთი ყველაზე სწრაფად მზარდი სექტორი, მაგრამ ნაკლებად სავარაუდოა, რომ ის იყოს ერთადერთი მზარდი სექტორი.",False,True
"Interest rates during the previous government were 21%, which is reduced by 3 times",false,ka,"საბოლოო პასუხი: მცდარი

Interest rates being reduced by ""3 times"" implies a reduction to one-third of the original rate. If the original rate was 21%, reducing it by three times would mean the new rate is 7%. However, the statement does not provide the current interest rate for verification, and without this information, the claim cannot be accurately assessed. Therefore, the statement as it stands is misleading and incorrect.",False,True
“Nika Gilauri was meant to be a Ukrainian business ombudsman ... The Georgian government sent a note and told him ...,false,ka,საბოლოო პასუხი: ნახევრად მართალია.,False,True
"Russia, in The Hague, uses quotes from Salome Zourabichvili's book as an argument against Georgia",true,ka,საბოლოო პასუხი: მართალია,False,True
A country where the barrier is 5%and the winner brings all the barriers to the sounds of the,true,ka,საბოლოო პასუხი: მცდარი.,False,True
Tbilisi City Council transferred 16 590 sq.m land to the Patriarchate from January 2017 to July 2017,true,ka,საბოლოო პასუხი: მართალია,False,True
"During the previous government there was an average of 10 km on the highway a year, and today 28 km every year ...",half true,ka,"ამ პრეტენზიის სიზუსტის დასადგენად საჭიროა შესაბამისი მონაცემების გადამოწმება. ეს მოიცავს წინა და ამჟამინდელი მთავრობის პერიოდში აშენებული გზების სიგრძის დოკუმენტაციას. თუ მონაცემები აჩვენებს, რომ წინა მთავრობის დროს საშუალოდ 10 კმ გზები აშენდა ყოველწლიურად და ამჟამინდელი მთავრობის დროს ეს მაჩვენებელი გაიზარდა 28 კმ-მდე, მაშინ პრეტენზია მართალია. თუ მონაცემები განსხვავებულია, პრეტენზია შეიძლება იყოს მცდარი ან ნაწილობრივ მართალი.

საბოლოო პასუხი: „ნახევრად მართალია“ (თუ მონაცემები აჩვენებს, რომ პრეტენზია ნაწილობრივ შეესაბამება სიმართლეს, მაგრამ არა სრულად).",False,True
